	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	10000	1	0.04297161102294922
1	MergeIterativo	10000	1	0.07595515251159668
2	MergeThree	10000	1	0.039975643157958984
3	MergeOPT	10000	1	0.03997492790222168
4	MergeSort	10000	2	0.03897571563720703
5	MergeIterativo	10000	2	0.0769493579864502
6	MergeThree	10000	2	0.04097437858581543
7	MergeOPT	10000	2	0.03997516632080078
8	MergeSort	10000	3	0.04097461700439453
9	MergeIterativo	10000	3	0.07895112037658691
10	MergeThree	10000	3	0.03997540473937988
11	MergeOPT	10000	3	0.03997445106506348
12	MergeSort	20000	1	0.09394407272338867
13	MergeIterativo	20000	1	0.1698923110961914
14	MergeThree	20000	1	0.08594632148742676
15	MergeOPT	20000	1	0.08694624900817871
16	MergeSort	20000	2	0.1029365062713623
17	MergeIterativo	20000	2	0.19588041305541992
18	MergeThree	20000	2	0.10493350028991699
19	MergeOPT	20000	2	0.11592650413513184
20	MergeSort	20000	3	0.08794450759887695
21	MergeIterativo	20000	3	0.2058722972869873
22	MergeThree	20000	3	0.10193872451782227
23	MergeOPT	20000	3	0.0949394702911377
24	MergeSort	30000	1	0.13291454315185547
25	MergeIterativo	30000	1	0.3467843532562256
26	MergeThree	30000	1	0.136918306350708
27	MergeOPT	30000	1	0.1598985195159912
28	MergeSort	30000	2	0.150909423828125
29	MergeIterativo	30000	2	0.262833833694458
30	MergeThree	30000	2	0.1429142951965332
31	MergeOPT	30000	2	0.14091253280639648
32	MergeSort	30000	3	0.17089462280273438
33	MergeIterativo	30000	3	0.3048107624053955
34	MergeThree	30000	3	0.15190339088439941
35	MergeOPT	30000	3	0.15790295600891113
36	MergeSort	40000	1	0.19487595558166504
37	MergeIterativo	40000	1	0.3937563896179199
38	MergeThree	40000	1	0.2728264331817627
39	MergeOPT	40000	1	0.2708315849304199
40	MergeSort	40000	2	0.36776089668273926
41	MergeIterativo	40000	2	0.46471166610717773
42	MergeThree	40000	2	0.22286224365234375
43	MergeOPT	40000	2	0.23085832595825195
44	MergeSort	40000	3	0.20886778831481934
45	MergeIterativo	40000	3	0.38576221466064453
46	MergeThree	40000	3	0.19488024711608887
47	MergeOPT	40000	3	0.23085403442382812
48	MergeSort	50000	1	0.2948136329650879
49	MergeIterativo	50000	1	0.4807002544403076
50	MergeThree	50000	1	0.27083349227905273
51	MergeOPT	50000	1	0.31980133056640625
52	MergeSort	50000	2	0.3168003559112549
53	MergeIterativo	50000	2	0.46871042251586914
54	MergeThree	50000	2	0.27582669258117676
55	MergeOPT	50000	2	0.3168001174926758
56	MergeSort	50000	3	0.2358543872833252
57	MergeIterativo	50000	3	0.4557168483734131
58	MergeThree	50000	3	0.24984216690063477
59	MergeOPT	50000	3	0.2358536720275879
