	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.008163928985595703
1	MergeIterativo	2000	1	0.010470151901245117
2	MergeThree	2000	1	0.0078008174896240234
3	MergeOPT	2000	1	0.007609128952026367
4	quicksortIterativo	2000	1	0.0077512264251708984
5	Quicksort	2000	1	0.2089681625366211
6	RdmQuicksort	2000	1	0.009963750839233398
7	MergeSort	2000	2	0.0074939727783203125
8	MergeIterativo	2000	2	0.009798526763916016
9	MergeThree	2000	2	0.007524013519287109
10	MergeOPT	2000	2	0.00751805305480957
11	quicksortIterativo	2000	2	0.007499217987060547
12	Quicksort	2000	2	0.20401549339294434
13	RdmQuicksort	2000	2	0.007523059844970703
14	MergeSort	2000	3	0.007706642150878906
15	MergeIterativo	2000	3	0.009797096252441406
16	MergeThree	2000	3	0.007703304290771484
17	MergeOPT	2000	3	0.007461071014404297
18	quicksortIterativo	2000	3	0.0075833797454833984
19	Quicksort	2000	3	0.19886422157287598
20	RdmQuicksort	2000	3	0.007313251495361328
21	MergeSort	4000	1	0.01597142219543457
22	MergeIterativo	4000	1	0.021250009536743164
23	MergeThree	4000	1	0.015720844268798828
24	MergeOPT	4000	1	0.015899658203125
25	quicksortIterativo	4000	1	0.01639389991760254
26	Quicksort	4000	1	0.7797696590423584
27	RdmQuicksort	4000	1	0.016172170639038086
28	MergeSort	4000	2	0.015905141830444336
29	MergeIterativo	4000	2	0.021126508712768555
30	MergeThree	4000	2	0.015881061553955078
31	MergeOPT	4000	2	0.01583242416381836
32	quicksortIterativo	4000	2	0.016484498977661133
33	Quicksort	4000	2	0.8117825984954834
34	RdmQuicksort	4000	2	0.01566481590270996
35	MergeSort	4000	3	0.015805482864379883
36	MergeIterativo	4000	3	0.02099895477294922
37	MergeThree	4000	3	0.015892744064331055
38	MergeOPT	4000	3	0.015832901000976562
39	quicksortIterativo	4000	3	0.01642751693725586
40	Quicksort	4000	3	0.7865021228790283
41	RdmQuicksort	4000	3	0.016463518142700195
42	MergeSort	6000	1	0.02744579315185547
43	MergeIterativo	6000	1	0.03297996520996094
44	MergeThree	6000	1	0.02723979949951172
45	MergeOPT	6000	1	0.027414560317993164
46	quicksortIterativo	6000	1	0.02640080451965332
47	Quicksort	6000	1	1.845421314239502
48	RdmQuicksort	6000	1	0.0253450870513916
49	MergeSort	6000	2	0.027512073516845703
50	MergeIterativo	6000	2	0.032845258712768555
51	MergeThree	6000	2	0.02741408348083496
52	MergeOPT	6000	2	0.02710890769958496
53	quicksortIterativo	6000	2	0.02616262435913086
54	Quicksort	6000	2	1.8085832595825195
55	RdmQuicksort	6000	2	0.024526119232177734
56	MergeSort	6000	3	0.027454853057861328
57	MergeIterativo	6000	3	0.0330042839050293
58	MergeThree	6000	3	0.027531147003173828
59	MergeOPT	6000	3	0.027141571044921875
60	quicksortIterativo	6000	3	0.026014328002929688
61	Quicksort	6000	3	1.80594801902771
62	RdmQuicksort	6000	3	0.023463010787963867
63	MergeSort	8000	1	0.03858447074890137
64	MergeIterativo	8000	1	0.05203676223754883
65	MergeThree	8000	1	0.03425741195678711
66	MergeOPT	8000	1	0.03382444381713867
67	quicksortIterativo	8000	1	0.03659820556640625
68	Quicksort	8000	1	3.235098361968994
69	RdmQuicksort	8000	1	0.032651424407958984
70	MergeSort	8000	2	0.03350520133972168
71	MergeIterativo	8000	2	0.04493832588195801
72	MergeThree	8000	2	0.033502817153930664
73	MergeOPT	8000	2	0.033492088317871094
74	quicksortIterativo	8000	2	0.03586220741271973
75	Quicksort	8000	2	3.2580385208129883
76	RdmQuicksort	8000	2	0.03608846664428711
77	MergeSort	8000	3	0.033773183822631836
78	MergeIterativo	8000	3	0.04507565498352051
79	MergeThree	8000	3	0.033566951751708984
80	MergeOPT	8000	3	0.033463239669799805
81	quicksortIterativo	8000	3	0.03588604927062988
82	Quicksort	8000	3	3.221437692642212
83	RdmQuicksort	8000	3	0.034912109375
84	MergeSort	10000	1	0.04482889175415039
85	MergeIterativo	10000	1	0.05872845649719238
86	MergeThree	10000	1	0.04475212097167969
87	MergeOPT	10000	1	0.04489588737487793
88	quicksortIterativo	10000	1	0.04616999626159668
89	Quicksort	10000	1	5.0694684982299805
90	RdmQuicksort	10000	1	0.04206657409667969
91	MergeSort	10000	2	0.04706382751464844
92	MergeIterativo	10000	2	0.05785059928894043
93	MergeThree	10000	2	0.04459404945373535
94	MergeOPT	10000	2	0.04477524757385254
95	quicksortIterativo	10000	2	0.04585623741149902
96	Quicksort	10000	2	5.015326738357544
97	RdmQuicksort	10000	2	0.04230046272277832
98	MergeSort	10000	3	0.04461073875427246
99	MergeIterativo	10000	3	0.05782580375671387
100	MergeThree	10000	3	0.044550180435180664
101	MergeOPT	10000	3	0.04437828063964844
102	quicksortIterativo	10000	3	0.04589438438415527
103	Quicksort	10000	3	5.108287572860718
104	RdmQuicksort	10000	3	0.04165768623352051
